Name,FathersName,Mobile,SGPA,Marks
Aman Kumar,Rajesh Kumar,9876512001,8.6,86
Riya Sharma,Anil Sharma,9876512002,7.4,72
Kunal Verma,Suresh Verma,9876512003,6.1,55
Neha Singh,Arvind Singh,9876512004,5.2,45
Rohit Gupta,Mahesh Gupta,9876512005,3.8,32
Anjali Mehta,Rakesh Mehta,9876512006,9.1,91
Saurabh Yadav,Vinod Yadav,9876512007,4.1,38
Pooja Patel,Kiran Patel,9876512008,7.0,68
Rahul Mishra,Ajay Mishra,9876512009,6.5,62
Sneha Joshi,Prakash Joshi,9876512010,8.9,89
Aditya Saxena,Manoj Saxena,9876512011,7.8,78
Kriti Agarwal,Sanjay Agarwal,9876512012,5.7,52
Vikas Pandey,Ram Pandey,9876512013,6.9,66
Simran Kaur,Gurpreet Kaur,9876512014,8.3,83
Nitin Chauhan,Ravindra Chauhan,9876512015,3.5,28
Isha Kapoor,Sunil Kapoor,9876512016,9.4,94
Aakash Jain,Deepak Jain,9876512017,7.2,70
Ritu Malhotra,Vikas Malhotra,9876512018,6.4,59
Harsh Bansal,Mukesh Bansal,9876512019,5.0,41
Kavya Arora,Naveen Arora,9876512020,8.7,87
Manish Thakur,Devendra Thakur,9876512021,6.0,58
Priya Nair,Krishnan Nair,9876512022,7.9,79
Abhishek Roy,Amit Roy,9876512023,5.4,48
Shivam Tiwari,Satish Tiwari,9876512024,6.8,65
Nandini Ghosh,Subhash Ghosh,9876512025,9.0,90
Deepak Soni,Rajendra Soni,9876512026,3.9,35
Aditi Kulkarni,Madhav Kulkarni,9876512027,7.6,76
Mohit Rana,Baljeet Rana,9876512028,5.9,54
Tanvi Deshpande,Anil Deshpande,9876512029,8.0,80
Yash Khanna,Alok Khanna,9876512030,6.3,60
Rohini Das,Sudip Das,9876512031,7.1,69
Siddharth Jain,Pankaj Jain,9876512032,8.8,88
Pallavi Shukla,Naresh Shukla,9876512033,5.1,42
Arjun Reddy,Srinivas Reddy,9876512034,6.6,63
Mehul Shah,Nitin Shah,9876512035,7.7,77
Kiran Rao,Mohan Rao,9876512036,3.6,30
Shreya Banerjee,Pradip Banerjee,9876512037,8.4,84
Gaurav Malviya,Santosh Malviya,9876512038,6.2,57
Pankaj Lodhi,Ram Lodhi,9876512039,5.3,46
Nisha Kumari,Om Prakash,9876512040,7.0,67
Amit Solanki,Bharat Solanki,9876512041,6.1,56
Rashmi Shetty,Ramesh Shetty,9876512042,8.5,85
Tarun Bhatia,Kapil Bhatia,9876512043,5.8,53
